eps,mean_fit,std_fit,mean_f1,std_f1,mean_prec,std_prec,mean_rec,std_rec,mean_tp,std_tp,mean_fp,std_fp,mean_fn,std_fn,mean_tn,std_tn,mean_acc,std_acc,mean_jaccard,std_jaccard,mean_fnr,std_fnr,num_evals
0.1,0.82797746284303436193,0.067019097308089248255,0.6282986064492549483,0.1397726885226890925,1.0,0.0,0.47334107350183082796,0.15012949897293917378,5300.0,1681.0,0.0,0.0,5897.0,1681.0,0.0,0.0,0.47334107350183082796,0.15012949897293917378,0.47334107350183082796,0.15012949897293917378,0.5266589264981691443,0.15012949897293914603,2
0.2,0.8910988083892630862,0.0065071384340053550766,0.66506856616424409046,0.020883786845965979229,1.0,0.0,0.4985710458158435221,0.02344377958381707594,5582.5,262.5,0.0,0.0,5614.5,262.5,0.0,0.0,0.4985710458158435221,0.02344377958381707594,0.4985710458158435221,0.02344377958381707594,0.50142895418415650566,0.023443779583817103696,2
0.5,0.97213091114557553807,0.0075127020940881084066,0.837235376131578779,0.039920660771750549056,1.0,0.0,0.72206841118156650516,0.059122979369473971367,8085.0,662.0,0.0,0.0,3112.0,662.0,0.0,0.0,0.72206841118156650516,0.059122979369473971367,0.72206841118156650516,0.059122979369473971367,0.27793158881843350871,0.05912297936947395749,2
0.8,0.9815651725340289735,0.0064571094466214784546,0.84936030150202695976,0.044216773596787384282,1.0,0.0,0.7407341252121104058,0.066892917745824787,8294.0,749.0,0.0,0.0,2903.0,749.0,0.0,0.0,0.7407341252121104058,0.066892917745824787,0.7407341252121104058,0.066892917745824787,0.25926587478788960806,0.066892917745824773124,2
1.0,0.99071022460547109034,0.002961345819631922005,0.8968465094263013415,0.026829353305602932078,1.0,0.0,0.8140573367866393295,0.04411896043583102278,9115.0,494.0,0.0,0.0,2082.0,494.0,0.0,0.0,0.8140573367866393295,0.04411896043583102278,0.8140573367866393295,0.04411896043583102278,0.185942663213360726,0.04411896043583102278,2
0.1,0.80031073317338613624,0.17106905836620239654,0.60871843203323106666,0.16321571788425779723,0.96,0.19595917942265424787,0.45433318445734703072,0.1457352713681505841,5086.26,1631.5063629664458039,0.0,0.0,5660.94,1708.5533987558012523,0.0,0.0,0.45433318445734703072,0.1457352713681505841,0.45433318445734703072,0.1457352713681505841,0.50566681554265296815,0.15261754343508720166,100
0.2,0.90855812945888096753,0.03168066410070744989,0.71518818734485859243,0.09046287342111144731,1.0,0.0,0.5643519428316212594,0.10957875095254002301,6317.92,1226.7341169136855795,0.0,0.0,4877.08,1226.7341169136855795,0.0,0.0,0.5643519428316212594,0.10957875095254002301,0.5643519428316212594,0.10957875095254002301,0.43564805716837874395,0.10957875095254002889,100
0.5,0.95885787049479237584,0.09708427576266603551,0.81134914149501093707,0.09846132459477300399,0.99,0.09949874371066199547,0.6909906208128628824,0.10489424145528202278,7735.64,1174.2910330918822102,0.0,0.0,3347.41,942.1767784763112065,0.0,0.0,0.6909906208128628824,0.10489424145528202278,0.6909906208128628824,0.10489424145528202278,0.2990093791871371154,0.08416049830069774181,100
0.8,0.983209086137480226,0.0057412424875332434557,0.8568454943241226862,0.038161191291346365558,1.0,0.0,0.75148995087092451683,0.058300790661297688395,8412.93,652.67735145322761536,0.0,0.0,2782.07,652.6773514532276154,0.0,0.0,0.75148995087092451683,0.058300790661297688395,0.75148995087092451683,0.058300790661297688395,0.24851004912907548039,0.05830079066129768759,100
1.0,0.98856334215659870114,0.004037712800808035778,0.8781984421362133342,0.03370536512187940078,1.0,0.0,0.7844564537740062493,0.053603800875401680935,8781.99,600.0945508001218303,0.0,0.0,2413.01,600.0945508001218303,0.0,0.0,0.7844564537740062493,0.053603800875401680935,0.7844564537740062493,0.053603800875401680935,0.21554354622599374625,0.05360380087540168092,100
